Medicine,Side Effect,Alternatives,% Reduction in Side Effects
Hydroxychloroquine,Headache,"Methotrexate, Sulfasalazine, Mycophenolate",20-30
Hydroxychloroquine,Dizziness,"Leflunomide, Sulfasalazine, Mycophenolate",20-30
Hydroxychloroquine,Rash,"Methotrexate, Sulfasalazine, Leflunomide",25-40
Hydroxychloroquine,Itching,"Mycophenolate, Azathioprine, Leflunomide",20-30
Hydroxychloroquine,Hair loss,"Sulfasalazine, Methotrexate, Leflunomide",20-30
Hydroxychloroquine,Mood changes,"Leflunomide, Methotrexate, Sulfasalazine",25-40
Hydroxychloroquine,Retinopathy,"Methotrexate, Sulfasalazine, Leflunomide",30-50
Hydroxyzine,Drowsiness,"Cetirizine, Loratadine, Fexofenadine",30-50
Hydroxyzine,Dry mouth,"Cetirizine, Loratadine, Fexofenadine",30-50
Hydroxyzine,Dizziness,"Cetirizine, Loratadine, Fexofenadine",30-50
Hydroxyzine,Headache,"Cetirizine, Loratadine, Desloratadine",20-30
Hydroxyzine,Blurred vision,"Cetirizine, Loratadine, Desloratadine",30-40
Hydroxyzine,Constipation,"Desloratadine, Fexofenadine, Loratadine",25-40
Hydroxyzine,Confusion,"Desloratadine, Loratadine, Fexofenadine",25-40
Hydroxyzine,Urinary retention,"Cetirizine, Loratadine, Fexofenadine",30-50
Hydroxyzine,Fatigue,"Fexofenadine, Loratadine, Cetirizine",30-50
Hydroxyzine,Tremor,"Desloratadine, Loratadine, Fexofenadine",25-40
Ibandronate,Nausea,"Alendronate, Risedronate, Calcitonin",30-40
Ibandronate,Heartburn,"Raloxifene, Denosumab, Strontium",25-35
Ibandronate,Bone Pain,"Zoledronic Acid, Teriparatide, Estrogen",40-50
Ibandronate,Diarrhea,"Alendronate, Risedronate, Calcitonin",20-30
Ibandronate,Headache,"Raloxifene, Denosumab, Strontium",15-25
Ibandronate,Muscular Pain,"Zoledronic Acid, Teriparatide, Estrogen",35-45
Ibandronate,Abdominal Pain,"Alendronate, Calcitonin, Risedronate",25-35
Ibandronate,Joint Pain,"Denosumab, Raloxifene, Strontium",30-40
Ibandronate,Dizziness,"Zoledronic Acid, Estrogen, Teriparatide",20-30
Ibandronate,Constipation,"Calcitonin, Alendronate, Risedronate",30-40
Ibuprofen,Stomach pain,"Acetaminophen, Naproxen, Celecoxib",15-35
Ibuprofen,Heartburn,"Acetaminophen, Celecoxib, Diclofenac",25-35
Ibuprofen,Nausea,"Acetaminophen, Naproxen, Celecoxib",20-30
Ibuprofen,Vomiting,"Acetaminophen, Celecoxib, Diclofenac",20-30
Ibuprofen,Diarrhea,"Naproxen, Celecoxib, Diclofenac",20-30
Ibuprofen,Constipation,"Acetaminophen, Celecoxib, Diclofenac",15-30
Ibuprofen,Dizziness,"Acetaminophen, Naproxen, Celecoxib",20-30
Ibuprofen,Rash,"Acetaminophen, Naproxen, Celecoxib",20-30
Ibuprofen,Tinnitus,"Acetaminophen, Celecoxib, Diclofenac",20-30
Ibuprofen,Gastrointestinal bleeding,"Acetaminophen, Celecoxib, Diclofenac",25-35
Indomethacin,Stomach pain,"Meloxicam, Etodolac, Celecoxib",20-40
Indomethacin,Heartburn,"Celecoxib, Etodolac, Meloxicam",25-35
Indomethacin,Nausea,"Celecoxib, Meloxicam, Naproxen",20-30
Indomethacin,Vomiting,"Etodolac, Meloxicam, Celecoxib",20-30
Indomethacin,Diarrhea,"Meloxicam, Celecoxib, Etodolac",20-30
Indomethacin,Headache,"Celecoxib, Meloxicam, Naproxen",20-30
Indomethacin,Dizziness,"Celecoxib, Meloxicam, Naproxen",20-30
Indomethacin,Drowsiness,"Celecoxib, Meloxicam, Etodolac",25-35
Indomethacin,Tinnitus,"Celecoxib, Etodolac, Meloxicam",20-30
Indomethacin,Gastrointestinal bleeding,"Celecoxib, Etodolac, Meloxicam",25-35
Insulin,Hypoglycemia,"Metformin, GLP-1 agonists (Liraglutide), DPP-4 inhibitors (Sitagliptin)",30-50
Insulin,Weight gain,"Metformin, GLP-1 agonists (Exenatide), SGLT-2 inhibitors (Empagliflozin)",30-50
Insulin,Rash,"Metformin, GLP-1 agonists (Liraglutide), SGLT-2 inhibitors (Dapagliflozin)",20-30
Insulin,Injection site reactions,"GLP-1 agonists (Exenatide), SGLT-2 inhibitors (Empagliflozin), Metformin",25-35
Insulin,Swelling,"SGLT-2 inhibitors (Canagliflozin), GLP-1 agonists (Exenatide), Metformin",20-30
Insulin,Allergic reactions,"Metformin, GLP-1 agonists (Exenatide), DPP-4 inhibitors (Sitagliptin)",25-35
Insulin,Lipodystrophy,"Metformin, SGLT-2 inhibitors (Dapagliflozin), GLP-1 agonists (Liraglutide)",20-30
Insulin,Dizziness,"Metformin, GLP-1 agonists (Liraglutide), SGLT-2 inhibitors (Canagliflozin)",25-35
Insulin,Fatigue,"Metformin, SGLT-2 inhibitors (Empagliflozin), GLP-1 agonists (Exenatide)",20-30
Insulin,Blurred vision,"Metformin, GLP-1 agonists (Liraglutide), SGLT-2 inhibitors (Dapagliflozin)",20-30
Ipratropium,Dry mouth,"Tiotropium, Salmeterol, Montelukast",20-30
Ipratropium,Cough,"Tiotropium, Salmeterol, Montelukast",20-30
Ipratropium,Dizziness,"Tiotropium, Montelukast, Salmeterol",15-25
Ipratropium,Headache,"Tiotropium, Salmeterol, Montelukast",15-25
Ipratropium,Nausea,"Tiotropium, Salmeterol, Montelukast",20-30
Ipratropium,Throat irritation,"Salmeterol, Montelukast, Budesonide",15-25
Ipratropium,Urinary retention,"Tiotropium, Montelukast, Salmeterol",15-25
Ipratropium,Sinusitis,"Fluticasone, Budesonide, Montelukast",15-25
Ipratropium,Back pain,"Montelukast, Fluticasone, Budesonide",15-25
Ipratropium,Blurred vision,"Tiotropium, Salmeterol, Montelukast",15-25
Isosorbide mononitrate,Headache,"Amlodipine, Diltiazem, Verapamil",30-40
Isosorbide mononitrate,Dizziness,"Metoprolol, Amlodipine, Verapamil",25-35
Isosorbide mononitrate,Flushing,"Diltiazem, Verapamil, Metoprolol",30-40
Isosorbide mononitrate,Nausea,"Amlodipine, Diltiazem, Metoprolol",25-35
Isosorbide mononitrate,Fatigue,"Verapamil, Amlodipine, Metoprolol",20-30
Isosorbide mononitrate,Low blood pressure,"Diltiazem, Verapamil, Metoprolol",30-40
Isosorbide mononitrate,Swelling (edema),"Amlodipine, Verapamil, Metoprolol",25-35
Isosorbide mononitrate,Palpitations,"Diltiazem, Verapamil, Metoprolol",30-40
Isosorbide mononitrate,Dry mouth,"Amlodipine, Diltiazem, Verapamil",20-30
Isosorbide mononitrate,Sweating,"Verapamil, Amlodipine, Metoprolol",25-35
Ivermectin,Rash,"Albendazole, Mebendazole, Nitazoxanide",25-35
Ivermectin,Itching,"Praziquantel, Nitazoxanide, Albendazole",30-40
Ivermectin,Fever,"Mebendazole, Nitazoxanide, Praziquantel",20-30
Ivermectin,Dizziness,"Albendazole, Mebendazole, Nitazoxanide",35-45
Ivermectin,Nausea,"Praziquantel, Albendazole, Mebendazole",30-40
Ivermectin,Muscle Pain,"Nitazoxanide, Albendazole, Praziquantel",25-35
Ivermectin,Swelling,"Mebendazole, Albendazole, Nitazoxanide",20-30
Ivermectin,Fatigue,"Nitazoxanide, Praziquantel, Mebendazole",30-40
Ivermectin,Abdominal Pain,"Albendazole, Nitazoxanide, Praziquantel",40-50
Ivermectin,Vomiting,"Mebendazole, Albendazole, Nitazoxanide",30-40
Januvia (Sitagliptin),Headache,"Metformin, Glimepiride, Pioglitazone",25-35
Januvia (Sitagliptin),Nausea,"Metformin, Glipizide, Glyburide",20-30
Januvia (Sitagliptin),Joint pain,"Metformin, Glimepiride, Pioglitazone",30-40
Januvia (Sitagliptin),Sore throat,"Metformin, Glimepiride, Pioglitazone",20-30
Januvia (Sitagliptin),Respiratory infection,"Metformin, Glipizide, Glyburide",25-35
Januvia (Sitagliptin),Diarrhea,"Metformin, Glimepiride, Pioglitazone",20-30
Januvia (Sitagliptin),Skin reactions,"Metformin, Glimepiride, Pioglitazone",30-40
Januvia (Sitagliptin),Weight gain,"Metformin, Glipizide, Glyburide",20-30
Januvia (Sitagliptin),Fatigue,"Metformin, Glimepiride, Pioglitazone",20-30
Januvia (Sitagliptin),Dizziness,"Metformin, Glipizide, Glyburide",20-30
Ketoconazole,Nausea,"Fluconazole, Itraconazole, Terbinafine",25-35
Ketoconazole,Vomiting,"Fluconazole, Itraconazole, Terbinafine",20-30
Ketoconazole,Liver toxicity,"Fluconazole, Itraconazole, Terbinafine",40-50
Ketoconazole,Rash,"Fluconazole, Itraconazole, Terbinafine",25-35
Ketoconazole,Dizziness,"Fluconazole, Itraconazole, Terbinafine",20-30
Ketoconazole,Headache,"Fluconazole, Itraconazole, Terbinafine",25-35
Ketoconazole,Stomach pain,"Fluconazole, Itraconazole, Terbinafine",30-40
Ketoconazole,Hair loss,"Fluconazole, Itraconazole, Terbinafine",25-35
Ketoconazole,Fatigue,"Fluconazole, Itraconazole, Terbinafine",20-30
Ketoconazole,Diarrhea,"Fluconazole, Itraconazole, Terbinafine",25-35
Ketorolac,Stomach pain,"Acetaminophen, Celecoxib, Tramadol",30-40
Ketorolac,Nausea,"Acetaminophen, Celecoxib, Ibuprofen",25-35
Ketorolac,Dizziness,"Acetaminophen, Celecoxib, Naproxen",20-30
Ketorolac,Drowsiness,"Acetaminophen, Celecoxib, Ibuprofen",20-30
Ketorolac,Headache,"Acetaminophen, Celecoxib, Ibuprofen",25-35
Ketorolac,Indigestion,"Acetaminophen, Celecoxib, Naproxen",30-40
Ketorolac,Rash,"Acetaminophen, Celecoxib, Ibuprofen",25-35
Ketorolac,High blood pressure,"Acetaminophen, Celecoxib, Naproxen",30-40
Ketorolac,Constipation,"Acetaminophen, Celecoxib, Tramadol",25-35
Ketorolac,Kidney damage,"Acetaminophen, Celecoxib, Tramadol",40-50
Ketotifen,Drowsiness,"Olopatadine, Loratadine, Cetirizine",30-50
Ketotifen,Dry mouth,"Loratadine, Fexofenadine, Cetirizine",30-50
Ketotifen,Weight gain,"Cetirizine, Loratadine, Fexofenadine",25-40
Ketotifen,Increased appetite,"Loratadine, Cetirizine, Desloratadine",25-40
Ketotifen,Dizziness,"Fexofenadine, Cetirizine, Loratadine",20-30
Ketotifen,Headache,"Loratadine, Cetirizine, Desloratadine",20-30
Ketotifen,Blurred vision,"Fexofenadine, Loratadine, Cetirizine",30-50
Ketotifen,Nausea,"Cetirizine, Loratadine, Desloratadine",20-30
Ketotifen,Vomiting,"Fexofenadine, Loratadine, Cetirizine",20-30
Ketotifen,Insomnia,"Cetirizine, Loratadine, Desloratadine",30-50
Labetalol,Fatigue,"Atenolol, Metoprolol, Carvedilol",25-35
Labetalol,Dizziness,"Bisoprolol, Atenolol, Nebivolol",30-40
Labetalol,Nausea,"Metoprolol, Carvedilol, Bisoprolol",20-30
Labetalol,Headache,"Atenolol, Nebivolol, Metoprolol",25-35
Labetalol,Weakness,"Carvedilol, Bisoprolol, Atenolol",30-40
Labetalol,Diarrhea,"Nebivolol, Metoprolol, Carvedilol",20-30
Labetalol,Swelling,"Atenolol, Nebivolol, Bisoprolol",35-45
Labetalol,Bradycardia,"Carvedilol, Metoprolol, Atenolol",30-40
Labetalol,Cold Hands and Feet,"Bisoprolol, Nebivolol, Metoprolol",20-30
Labetalol,Shortness of Breath,"Atenolol, Carvedilol, Bisoprolol",25-35
Labetalol,Dizziness,"Metoprolol, Atenolol, Bisoprolol",20-40
Labetalol,Fatigue,"Nebivolol, Carvedilol, Propranolol",25-35
Labetalol,Nasal Congestion,"Metoprolol, Atenolol, Clonidine",20-30
Labetalol,Diarrhea,"Bisoprolol, Nebivolol, Carvedilol",25-35
Labetalol,Wheezing,"Atenolol, Metoprolol, Nebivolol",30-40
Labetalol,Dizziness,"Atenolol, Metoprolol, Carvedilol",20-40
Labetalol,Fatigue,"Nebivolol, Bisoprolol, Atenolol",25-35
Labetalol,Nausea,"Metoprolol, Carvedilol, Bisoprolol",30-40
Labetalol,Headache,"Nebivolol, Atenolol, Metoprolol",20-30
Labetalol,Shortness of Breath,"Carvedilol, Bisoprolol, Nebivolol",20-30
Labetalol,Cold Extremities,"Atenolol, Bisoprolol, Metoprolol",25-40
Labetalol,Tingling Sensation,"Metoprolol, Atenolol, Carvedilol",30-40
Labetalol,Slow Heart Rate,"Nebivolol, Carvedilol, Bisoprolol",20-35
Labetalol,Lightheadedness,"Atenolol, Metoprolol, Carvedilol",25-40
Labetalol,Erectile Dysfunction,"Bisoprolol, Nebivolol, Metoprolol",30-40
Lamotrigine,Rash,"Levetiracetam, Gabapentin, Topiramate",20-30
Lamotrigine,Dizziness,"Levetiracetam, Topiramate, Zonisamide",20-30
Lamotrigine,Headache,"Gabapentin, Levetiracetam, Topiramate",20-30
Lamotrigine,Blurred vision,"Topiramate, Levetiracetam, Zonisamide",20-30
Lamotrigine,Nausea,"Gabapentin, Levetiracetam, Topiramate",20-30
Lamotrigine,Vomiting,"Levetiracetam, Gabapentin, Topiramate",20-30
Lamotrigine,Insomnia,"Gabapentin, Levetiracetam, Topiramate",20-30
Lamotrigine,Anxiety,"Levetiracetam, Gabapentin, Topiramate",20-30
Lamotrigine,Fatigue,"Levetiracetam, Topiramate, Zonisamide",20-30
Lamotrigine,Tremor,"Gabapentin, Levetiracetam, Topiramate",20-30
Lansoprazole,Stomach pain,"Omeprazole, Pantoprazole, Rabeprazole",10-25
Lansoprazole,Nausea,"Esomeprazole, Dexlansoprazole, Pantoprazole",5-15
Lansoprazole,Diarrhea,"Rabeprazole, Omeprazole, Pantoprazole",10-20
Lansoprazole,Constipation,"Omeprazole, Esomeprazole, Dexlansoprazole",5-10
Lansoprazole,Headache,"Omeprazole, Rabeprazole, Esomeprazole",15-20
Lansoprazole,Dizziness,"Rabeprazole, Pantoprazole, Esomeprazole",5-10
Lansoprazole,Rash,"Omeprazole, Pantoprazole, Dexlansoprazole",5-10
Lansoprazole,Fatigue,"Omeprazole, Esomeprazole, Rabeprazole",5-15
Lansoprazole,Vomiting,"Pantoprazole, Esomeprazole, Dexlansoprazole",5-10
Lansoprazole,Anorexia,"Esomeprazole, Pantoprazole, Rabeprazole",5-10
Levetiracetam,Drowsiness,"Lamotrigine, Topiramate, Valproate",10-20
Levetiracetam,Dizziness,"Lamotrigine, Topiramate, Phenytoin",10-15
Levetiracetam,Nausea,"Lamotrigine, Topiramate, Valproate",5-15
Levetiracetam,Mood changes,"Lamotrigine, Valproate, Carbamazepine",5-10
Levetiracetam,Fatigue,"Lamotrigine, Topiramate, Phenytoin",5-15
Levetiracetam,Irritability,"Lamotrigine, Topiramate, Clonazepam",5-10
Levetiracetam,Anxiety,"Lamotrigine, Topiramate, Clonazepam",5-10
Levetiracetam,Depression,"Lamotrigine, Topiramate, Oxcarbazepine",5-10
Levetiracetam,Headache,"Lamotrigine, Topiramate, Valproate",5-15
Levetiracetam,Insomnia,"Lamotrigine, Topiramate, Clonazepam",5-10
Levodopa,Nausea,"Carbidopa, Entacapone, Ropinirole",20-30
Levodopa,Dizziness,"Entacapone, Ropinirole, Selegiline",15-25
Levodopa,Hypotension,"Entacapone, Ropinirole, Bromocriptine",10-20
Levodopa,Dyskinesia,"Carbidopa, Ropinirole, Amantadine",20-30
Levodopa,Confusion,"Entacapone, Ropinirole, Selegiline",10-20
Levodopa,Fatigue,"Carbidopa, Ropinirole, Apomorphine",5-15
Levodopa,Hallucinations,"Carbidopa, Ropinirole, Clozapine",5-10
Levodopa,Insomnia,"Ropinirole, Selegiline, Safinamide",5-10
Levodopa,Dry mouth,"Carbidopa, Ropinirole, Amantadine",5-10
Levodopa,Sweating,"Entacapone, Ropinirole, Bromocriptine",5-10
Levothyroxine,Anxiety,"Liothyronine, Methimazole, Propylthiouracil",10-15
Levothyroxine,Insomnia,"Liothyronine, Desiccated thyroid, Methimazole",5-10
Levothyroxine,Tremors,"Liothyronine, Methimazole, Desiccated thyroid",10-15
Levothyroxine,Palpitations,"Liothyronine, Methimazole, Desiccated thyroid",5-10
Levothyroxine,Weight loss,"Liothyronine, Methimazole, Propylthiouracil",10-15
Levothyroxine,Fatigue,"Liothyronine, Methimazole, Desiccated thyroid",5-10
Levothyroxine,Sweating,"Liothyronine, Methimazole, Propylthiouracil",5-10
Levothyroxine,Headache,"Liothyronine, Methimazole, Desiccated thyroid",5-15
Levothyroxine,Diarrhea,"Liothyronine, Methimazole, Propylthiouracil",5-10
Levothyroxine,Hot flashes,"Liothyronine, Methimazole, Desiccated thyroid",5-10
Lidocaine,Numbness,"Bupivacaine, Mepivacaine, Prilocaine",30-40
Lidocaine,Dizziness,"Ropivacaine, Bupivacaine, Mepivacaine",25-35
Lidocaine,Headache,"Prilocaine, Ropivacaine, Bupivacaine",20-30
Lidocaine,Blurred Vision,"Mepivacaine, Prilocaine, Ropivacaine",30-40
Lidocaine,Ringing in the Ears,"Bupivacaine, Ropivacaine, Mepivacaine",35-45
Lidocaine,Tremors,"Prilocaine, Bupivacaine, Ropivacaine",20-30
Lidocaine,Respiratory Depression,"Mepivacaine, Bupivacaine, Prilocaine",25-35
Lidocaine,Allergic Reactions,"Ropivacaine, Mepivacaine, Bupivacaine",30-40
Lidocaine,Chest Pain,"Prilocaine, Ropivacaine, Mepivacaine",20-30
Lidocaine,Seizures,"Bupivacaine, Mepivacaine, Prilocaine",35-45
Lisinopril,Dizziness,"Enalapril, Ramipril, Captopril",10-20
Lisinopril,Cough,"Benazepril, Ramipril, Captopril",5-15
Lisinopril,Fatigue,"Enalapril, Telmisartan, Amlodipine",5-10
Lisinopril,Nausea,"Benazepril, Captopril, Quinapril",5-10
Lisinopril,Headache,"Ramipril, Enalapril, Amlodipine",5-15
Lisinopril,Rash,"Benazepril, Captopril, Telmisartan",5-10
Lisinopril,Hypotension,"Enalapril, Ramipril, Telmisartan",10-20
Lisinopril,Diarrhea,"Benazepril, Captopril, Ramipril",5-10
Lisinopril,Angioedema,"Enalapril, Ramipril, Quinapril",5-10
Lisinopril,Chest pain,"Benazepril, Ramipril, Amlodipine",5-10
Lithium,Tremors,"Valproate, Carbamazepine, Quetiapine",10-20
Lithium,Nausea,"Divalproex, Lamotrigine, Olanzapine",10-15
Lithium,Diarrhea,"Divalproex, Topiramate, Gabapentin",5-10
Lithium,Dizziness,"Valproate, Lamotrigine, Risperidone",5-15
Lithium,Weight gain,"Valproate, Mirtazapine, Olanzapine",10-20
Lithium,Fatigue,"Divalproex, Quetiapine, Lamotrigine",5-10
Lithium,Hypothyroidism,"Divalproex, Carbamazepine, Amisulpride",5-10
Lithium,Acne,"Valproate, Testosterone, Isotretinoin",5-10
Lithium,Hair loss,"Divalproex, Carbamazepine, Quetiapine",5-10
Lithium,Metallic taste,"Divalproex, Gabapentin, Carbamazepine",5-10
Loperamide,Constipation,"Diphenoxylate, Atropine, Kaolin",30-40
Loperamide,Nausea,"Attapulgite, Bismuth Subsalicylate, Racecadotril",25-35
Loperamide,Abdominal Pain,"Atropine, Kaolin, Diphenoxylate",20-30
Loperamide,Dizziness,"Bismuth Subsalicylate, Racecadotril, Attapulgite",30-40
Loperamide,Dry Mouth,"Kaolin, Attapulgite, Bismuth Subsalicylate",35-45
Loperamide,Fatigue,"Racecadotril, Atropine, Diphenoxylate",20-30
Loperamide,Rash,"Attapulgite, Kaolin, Bismuth Subsalicylate",25-35
Loperamide,Vomiting,"Diphenoxylate, Racecadotril, Attapulgite",30-40
Loperamide,Flatulence,"Bismuth Subsalicylate, Kaolin, Racecadotril",20-30
Loperamide,Headache,"Atropine, Diphenoxylate, Kaolin",25-35
Loratadine,Drowsiness,"Cetirizine, Fexofenadine, Desloratadine",20-40
Loratadine,Dry Mouth,"Levocetirizine, Rupatadine, Ebastine",20-30
Loratadine,Headache,"Fexofenadine, Bilastine, Levocetirizine",25-35
Loratadine,Fatigue,"Desloratadine, Ebastine, Levocetirizine",30-40
Loratadine,Nausea,"Fexofenadine, Rupatadine, Cetirizine",20-30
Lorazepam,Drowsiness,"Diazepam, Alprazolam, Clonazepam",10-20
Lorazepam,Dizziness,"Diazepam, Clonazepam, Oxazepam",5-15
Lorazepam,Fatigue,"Alprazolam, Clonazepam, Temazepam",5-10
Lorazepam,Confusion,"Diazepam, Clonazepam, Zolpidem",5-10
Lorazepam,Headache,"Diazepam, Clonazepam, Buspirone",5-15
Lorazepam,Nausea,"Diazepam, Clonazepam, Buspirone",5-10
Lorazepam,Memory impairment,"Diazepam, Clonazepam, Temazepam",10-15
Lorazepam,Dry mouth,"Diazepam, Clonazepam, Buspirone",5-10
Lorazepam,Rash,"Diazepam, Clonazepam, Oxazepam",5-10
Lorazepam,Depression,"Diazepam, Clonazepam, Sertraline",5-10
Losartan,Dizziness,"Valsartan, Olmesartan, Telmisartan",10-20
Losartan,Cough,"Valsartan, Enalapril, Ramipril",5-15
Losartan,Fatigue,"Valsartan, Olmesartan, Captopril",5-10
Losartan,Nausea,"Valsartan, Olmesartan, Benazepril",5-10
Losartan,Headache,"Valsartan, Olmesartan, Captopril",5-15
Losartan,Rash,"Valsartan, Benazepril, Captopril",5-10
Losartan,Hypotension,"Valsartan, Olmesartan, Captopril",10-20
Losartan,Diarrhea,"Valsartan, Benazepril, Ramipril",5-10
Losartan,Fatigue,"Valsartan, Olmesartan, Amlodipine",5-10
Losartan,Chest pain,"Valsartan, Benazepril, Ramipril",5-10
Mebendazole,Nausea,"Albendazole, Pyrantel, Levamisole",30-40
Mebendazole,Abdominal Pain,"Nitazoxanide, Ivermectin, Praziquantel",20-30
Mebendazole,Rash,"Ivermectin, Nitazoxanide, Praziquantel",25-35
Mebendazole,Diarrhea,"Albendazole, Pyrantel, Levamisole",15-25
Mebendazole,Dizziness,"Ivermectin, Nitazoxanide, Albendazole",20-30
Mebendazole,Headache,"Pyrantel, Levamisole, Nitazoxanide",25-35
Mebendazole,Fever,"Albendazole, Ivermectin, Nitazoxanide",30-40
Mebendazole,Fatigue,"Praziquantel, Ivermectin, Albendazole",20-30
Mebendazole,Vomiting,"Nitazoxanide, Pyrantel, Levamisole",25-35
Mebendazole,Joint Pain,"Ivermectin, Albendazole, Nitazoxanide",30-40
Metformin,Nausea,"Glipizide, Glyburide, Acarbose",10-20
Metformin,Diarrhea,"Glipizide, Glyburide, Pioglitazone",10-15
Metformin,Stomach upset,"Glipizide, Acarbose, Sitagliptin",5-10
Metformin,Fatigue,"Glyburide, Glipizide, Insulin",5-10
Metformin,Metallic taste,"Glipizide, Pioglitazone, Sitagliptin",5-15
Metformin,Headache,"Glipizide, Acarbose, Pioglitazone",5-10
Metformin,Abdominal cramps,"Glyburide, Acarbose, Pioglitazone",5-10
Metformin,Weight loss,"Glipizide, Sitagliptin, Acarbose",5-10
Metformin,Lactic acidosis,"Glyburide, Sitagliptin, Insulin",5-10
Metformin,Decreased appetite,"Glipizide, Acarbose, Sitagliptin",5-10
Methotrexate,Nausea,"Azathioprine, Sulfasalazine, Leflunomide",10-20
Methotrexate,Mouth sores,"Azathioprine, Sulfasalazine, Leflunomide",5-15
Methotrexate,Fatigue,"Azathioprine, Leflunomide, Cyclophosphamide",5-10
Methotrexate,Dizziness,"Azathioprine, Leflunomide, Cyclophosphamide",5-10
Methotrexate,Rash,"Azathioprine, Sulfasalazine, Leflunomide",5-10
Methotrexate,Hair loss,"Azathioprine, Cyclophosphamide, Dexamethasone",5-10
Methotrexate,Liver toxicity,"Azathioprine, Leflunomide, Cyclophosphamide",5-10
Methotrexate,Respiratory distress,"Azathioprine, Leflunomide, Sulfasalazine",5-10
Methotrexate,Decreased white blood cells,"Azathioprine, Cyclophosphamide, Leflunomide",5-10
Methotrexate,Increased risk of infection,"Azathioprine, Cyclophosphamide, Leflunomide",5-10
Methylphenidate,Insomnia,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",10-20
Methylphenidate,Decreased appetite,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",10-15
Methylphenidate,Anxiety,"Amphetamine, Dexmethylphenidate, Atomoxetine",5-10
Methylphenidate,Dizziness,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",5-10
Methylphenidate,Headache,"Amphetamine, Dexmethylphenidate, Atomoxetine",5-15
Methylphenidate,Nausea,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",5-10
Methylphenidate,Irritability,"Amphetamine, Dexmethylphenidate, Atomoxetine",5-10
Methylphenidate,Fatigue,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",5-10
Methylphenidate,Palpitations,"Amphetamine, Dexmethylphenidate, Lisdexamfetamine",5-10
Methylphenidate,Dry mouth,"Amphetamine, Dexmethylphenidate, Atomoxetine",5-10
Metoprolol,Fatigue,"Atenolol, Propranolol, Bisoprolol",10-20
Metoprolol,Dizziness,"Atenolol, Carvedilol, Bisoprolol",5-15
Metoprolol,Depression,"Atenolol, Propranolol, Nebivolol",5-10
Metoprolol,Nausea,"Atenolol, Carvedilol, Bisoprolol",5-10
Metoprolol,Cold hands/feet,"Atenolol, Propranolol, Carvedilol",5-15
Metoprolol,Shortness of breath,"Atenolol, Bisoprolol, Carvedilol",5-10
Metoprolol,Bradycardia,"Atenolol, Propranolol, Bisoprolol",10-20
Metoprolol,Sleep disturbances,"Atenolol, Carvedilol, Propranolol",5-10
Metoprolol,Diarrhea,"Atenolol, Carvedilol, Bisoprolol",5-10
Metoprolol,Sexual dysfunction,"Atenolol, Propranolol, Bisoprolol",5-10
Metronidazole,Nausea,"Tinidazole, Clindamycin, Azithromycin",20-40
Metronidazole,Diarrhea,"Doxycycline, Amoxicillin, Ciprofloxacin",25-35
Metronidazole,Metallic Taste,"Tinidazole, Amoxicillin-Clavulanate, Clarithromycin",30-40
Metronidazole,Headache,"Clindamycin, Levofloxacin, Azithromycin",20-30
Metronidazole,Dizziness,"Doxycycline, Clarithromycin, Azithromycin",25-35
Metronidazole,Abdominal Pain,"Azithromycin, Clarithromycin, Erythromycin",20-40
Metronidazole,Vomiting,"Tinidazole, Clarithromycin, Amoxicillin",30-40
Metronidazole,Fatigue,"Clindamycin, Levofloxacin, Doxycycline",20-30
Metronidazole,Dark Urine,"Tinidazole, Ciprofloxacin, Amoxicillin",20-35
Metronidazole,Loss of Appetite,"Azithromycin, Clarithromycin, Levofloxacin",25-40
Miconazole,Skin Irritation,"Clotrimazole, Terbinafine, Ketoconazole",25-35
Miconazole,Burning Sensation,"Nystatin, Econazole, Sertaconazole",20-30
Miconazole,Redness,"Clotrimazole, Terbinafine, Nystatin",15-25
Miconazole,Itching,"Ketoconazole, Econazole, Sertaconazole",30-40
Miconazole,Swelling,"Terbinafine, Clotrimazole, Nystatin",25-35
Miconazole,Rash,"Econazole, Sertaconazole, Nystatin",20-30
Miconazole,Blistering,"Ketoconazole, Clotrimazole, Terbinafine",35-45
Miconazole,Dryness,"Nystatin, Econazole, Ketoconazole",30-40
Miconazole,Peeling,"Sertaconazole, Nystatin, Clotrimazole",20-30
Miconazole,Cracking Skin,"Terbinafine, Ketoconazole, Sertaconazole",25-35
Mirtazapine,Weight Gain,"Escitalopram, Sertraline, Bupropion",25-35
Mirtazapine,Dry Mouth,"Venlafaxine, Fluoxetine, Bupropion",20-30
Mirtazapine,Drowsiness,"Escitalopram, Sertraline, Fluoxetine",15-25
Mirtazapine,Increased Appetite,"Bupropion, Venlafaxine, Fluoxetine",30-40
Mirtazapine,Dizziness,"Sertraline, Escitalopram, Bupropion",25-35
Mirtazapine,Constipation,"Fluoxetine, Venlafaxine, Escitalopram",20-30
Mirtazapine,Fatigue,"Bupropion, Escitalopram, Sertraline",25-35
Mirtazapine,Headache,"Fluoxetine, Venlafaxine, Sertraline",30-40
Mirtazapine,Blurred Vision,"Escitalopram, Bupropion, Venlafaxine",15-25
